Title,Issn,SJR,H index
Journal of Supply Chain Management,"15232409, 1745493X",4.009,104
European Journal of Epidemiology,"03932990, 15737284",4.007,129
Protein Science,"1469896X, 09618368",4.007,191
PLoS Biology,"15449173, 15457885",4.005,293
IEEE Transactions on Industrial Informatics,15513203,4.002,170
Clinical Infectious Diseases,"15376591, 10584838",3.995,372
Research Synthesis Methods,"17592879, 17592887",3.991,51
"Lancet HIV,The",23523018,3.989,71
Annals of Neurology,"15318249, 03645134",3.977,321
Journal of the Royal Statistical Society. Series B: Statistical Methodology,"14679868, 13697412",3.976,140
IEEE Signal Processing Magazine,10535888,3.939,200
EMBO Molecular Medicine,"17574676, 17574684",3.932,130
Mycosphere,"20777019, 20777000",3.918,34
Ophthalmology,"15494713, 01616420",3.913,267
Journal of Infection,"01634453, 15322742",3.904,130
Annual Review of Pharmacology and Toxicology,"15454304, 03621642",3.902,218
Annual Review of Statistics and Its Application,"23268298, 2326831X",3.896,39
International Journal of Research in Marketing,01678116,3.896,115
British Journal of Political Science,"00071234, 14692112",3.893,107
"Annual Review of Control, Robotics, and Autonomous Systems",25735144,3.891,31
IEEE Transactions on Communications,"00906778, 15580857",3.889,227
Synthesis Lectures on Artificial Intelligence and Machine Learning,"19394616, 19394608",3.886,29
Materials Horizons,"20516347, 20516355",3.88,112
Acta Crystallographica Section D: Structural Biology,20597983,3.87,148
Kidney International,"00852538, 15231755",3.868,304
Nano Today,17480132,3.868,167
Cold Spring Harbor perspectives in biology,19430264,3.863,217
Annals of Internal Medicine,"15393704, 00034819",3.845,419
Earth-Science Reviews,00128252,3.807,231
Journal of Organizational Behavior,"10991379, 08943796",3.804,205
Journal of Personality and Social Psychology,00223514,3.799,416
MIS Quarterly: Management Information Systems,"02767783, 21629730",3.793,257
Arthritis and Rheumatology,"23265191, 23265205",3.788,339
Journal of Retailing,00224359,3.787,153
Biological Psychiatry,"00063223, 18732402",3.768,346
Comparative Political Studies,"15523829, 00104140",3.766,122
Communication Methods and Measures,"19312466, 19312458",3.757,38
Personnel Psychology,"00315826, 17446570",3.749,161
IEEE Internet of Things Journal,23274662,3.747,149
IEEE Transactions on Sustainable Energy,19493029,3.746,148
Journal of Allergy and Clinical Immunology,"10976825, 00916749",3.742,324
IMF Economic Review,"2041417X, 20414161",3.734,80
Immunological Reviews,"01052896, 1600065X",3.729,243
IEEE Transactions on Power Systems,08858950,3.726,293
Microbiology and Molecular Biology Reviews,"10985557, 10922172",3.719,267
Microbiome,20492618,3.709,118
Current Opinion in Cell Biology,"09550674, 18790410",3.703,275
Journal of Financial and Quantitative Analysis,"00221090, 17566916",3.7,138
Blood Cancer Journal,20445385,3.699,68
ACM Transactions on Graphics,"15577368, 07300301",3.697,238
GigaScience,2047217X,3.697,76
Annual Review of Animal Biosciences,"21658110, 21658102",3.696,54
"IEEE Transactions on Systems, Man, and Cybernetics: Systems","21682216, 21682232",3.688,159
Computers and Education,03601315,3.682,215
Journal of Operations Management,02726963,3.679,210
Educational Psychologist,"15326985, 00461520",3.668,144
European Business Review,0955534X,3.667,51
Journal of Cell Biology,"15408140, 00219525",3.664,405
Journal of the American Academy of Child and Adolescent Psychiatry,"08908567, 15275418",3.663,264
Automatica,00051098,3.657,305
Plant Cell,"1532298X, 10404651",3.646,380
Research Policy,00487333,3.634,271
Small Methods,23669608,3.629,88
JAMA Surgery,"21686262, 21686254",3.623,193
ISME Journal,"17517362, 17517370",3.619,210
"Lancet Healthy Longevity, The",26667568,3.619,20
Journal of Advances in Modeling Earth Systems,19422466,3.605,81
Progress in Human Geography,"14770288, 03091325",3.604,168
European Journal of Political Research,"03044130, 14756765",3.59,110
Cancer Treatment Reviews,03057372,3.589,153
Clinical Microbiology and Infection,"1198743X, 14690691",3.587,185
"Lancet Planetary Health, The",25425196,3.586,58
Trends in Genetics,"01689525, 13624555",3.583,237
Trends in Cancer,24058033,3.581,75
International Journal of Machine Tools and Manufacture,08906955,3.579,179
Operations Research,"0030364X, 15265463",3.579,154
Critical Care,"1466609X, 13648535",3.577,200
Biometrika,"14643510, 00063444",3.566,127
Educational Psychology Review,"1040726X, 1573336X",3.566,129
Chem Catalysis,"26671093, 26671107",3.565,17
Tourism Management,02615177,3.561,236
Cell Death and Differentiation,"13509047, 14765403",3.558,243
EcoMat,25673173,3.557,25
Cancer Immunology Research,"23266066, 23266074",3.552,116
npj Digital Medicine,23986352,3.552,64
Journal of Bioresources and Bioproducts,23699698,3.549,30
Cellular and Molecular Immunology,"20420226, 16727681",3.545,107
Molecular Psychiatry,"14765578, 13594184",3.541,237
Nano Letters,"15306992, 15306984",3.54,531
Digest of Technical Papers - IEEE International Solid-State Circuits Conference,01936530,3.537,110
IEEE Transactions on Fuzzy Systems,10636706,3.533,211
Journal of Extracellular Vesicles,20013078,3.525,98
Nature Food,26621355,3.525,40
Frontiers in Ecology and the Environment,"15409295, 15409309",3.51,186
Human Relations,"00187267, 1741282X",3.508,152
Health Affairs,"02782715, 15445208",3.501,199
Global Strategy Journal,20425805,3.471,40
Trends in Microbiology,"18784380, 0966842X",3.468,221
Med,"26666359, 26666340",3.459,25
Nature reviews. Rheumatology,"17594790, 17594804",3.459,166
Periodontology 2000,"09066713, 16000757",3.457,140
Autophagy,15548627,3.456,175
Political Behavior,"01909320, 15736687",3.456,80
European Heart Journal,"15229645, 0195668X",3.45,329
BMC Medicine,17417015,3.447,172
IEEE Transactions on Neural Networks and Learning Systems,"2162237X, 21622388",3.447,234
Annual Review of Materials Research,"15317331, 15454118",3.443,173
"Philosophical Review, The",00318108,3.428,61
Annals of Tourism Research,01607383,3.426,201
Molecular Therapy,"15250024, 15250016",3.425,197
Molecular Biology and Evolution,"15371719, 07374038",3.423,238
ACS Materials Letters,26394979,3.421,46
IEEE Transactions on Cognitive Communications and Networking,23327731,3.419,44
Foundations and Trends in Communications and Information Theory,"15672190, 15672328",3.415,28
AVS Quantum Science,26390213,3.413,18
Organizational Behavior and Human Decision Processes,"07495978, 10959920",3.408,169
Journal for ImmunoTherapy of Cancer,20511426,3.403,100
Journal of the American Statistical Association,"01621459, 1537274X",3.397,209
Small,"16136829, 16136810",3.395,276
Journal of International Economics,00221996,3.391,151
Experimental and Molecular Medicine,"12263613, 20926413",3.38,104
Annual Review of Phytopathology,"00664286, 15452107",3.379,175
Leukemia,"08876924, 14765551",3.376,211
ILR Review,"00197939, 2162271X",3.37,88
International Journal of Computer Vision,"09205691, 15731405",3.369,209
Protein and Cell,"16748018, 1674800X",3.367,82
American Psychologist,"0003066X, 1935990X",3.363,256
Journal of Clinical Epidemiology,"08954356, 18785921",3.362,237
